"protocol","scheme","location","raw_key","aliases","canonical_semantic","value_type","allowed_values","default","repeated","decode_rule","source_class","mihomo_mapping","xray_mapping","sing_box_mapping","other_mapping","current_behavior","status","test_ids","evidence","notes"
"Shadowsocks","ss","scheme","ss","","parser_dispatch","literal_scheme","ss://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: ss","unknown","unknown","Sub-Store@0882a522 differential only","dispatches to Shadowsocks parser","complete","proxyUri.test.ts:parses-ss-SIP002","local:PARSERS;workstream:parser-inventory",""
"ShadowsocksR","ssr","scheme","ssr","","parser_dispatch","literal_scheme","ssr://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: ssr","unsupported","unsupported","Sub-Store@0882a522 differential only","dispatches to ShadowsocksR parser","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:PARSERS;workstream:parser-inventory",""
"VMess","vmess","scheme","vmess","","parser_dispatch","literal_scheme","vmess://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: vmess","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","dispatches to VMess parser","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:PARSERS;workstream:parser-inventory",""
"VLESS","vless","scheme","vless","","parser_dispatch","literal_scheme","vless://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: vless","unknown (target Xray v26.3.27)","unknown (target sing-box v1.13.14)","unknown (target v2ray-core v5.51.2)","dispatches to VLESS parser","complete","proxyUri.test.ts:vless-core-security-and-port-boundaries","local:PARSERS;workstream:parser-inventory",""
"Trojan","trojan","scheme","trojan","","parser_dispatch","literal_scheme","trojan://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: trojan","unknown","unknown","Sub-Store@0882a522 differential only","dispatches to Trojan parser","complete","proxyUri.test.ts:parses-trojan-with-ws","local:PARSERS;workstream:parser-inventory",""
"Hysteria 1","hysteria","scheme","hysteria","","parser_dispatch","literal_scheme","hysteria://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: hysteria","unsupported in stable Xray","Hysteria 1 outbound; exact field name varies","Sub-Store@0882a522 differential only","dispatches to Hysteria 1 parser","complete","none","local:PARSERS;workstream:parser-inventory",""
"Hysteria 2","hysteria2","scheme","hysteria2","","parser_dispatch","literal_scheme","hysteria2://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: hysteria2","Hysteria v2 model; exact share mapping unknown","Hysteria 2 outbound; salamander only at v1.13.14","Sub-Store@0882a522 differential only","dispatches to Hysteria 2 parser","complete","proxyUri.test.ts:hysteria2-matrix","local:PARSERS;workstream:parser-inventory",""
"Hysteria 2","hy2","scheme","hy2","","parser_dispatch","literal_scheme","hy2://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: hysteria2","Hysteria v2 model; exact share mapping unknown","Hysteria 2 outbound; salamander only at v1.13.14","Sub-Store@0882a522 differential only","dispatches to Hysteria 2 parser","complete","proxyUri.test.ts:hysteria2-matrix","local:PARSERS;workstream:parser-inventory","secondary spelling"
"TUIC","tuic","scheme","tuic","","parser_dispatch","literal_scheme","tuic://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: tuic","unsupported","TUIC v5 only","Sub-Store@0882a522 differential only","dispatches to TUIC parser","complete","proxyUri.test.ts:parses-tuic","local:PARSERS;workstream:parser-inventory",""
"Snell","snell","scheme","snell","","parser_dispatch","literal_scheme","snell://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: snell","unsupported","unsupported","Sub-Store@0882a522 differential only","dispatches to Snell parser","complete","proxyUri.test.ts:parses-snell","local:PARSERS;workstream:parser-inventory",""
"AnyTLS","anytls","scheme","anytls","","parser_dispatch","literal_scheme","anytls://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: anytls","unsupported","AnyTLS outbound; duration semantics differ","Sub-Store@0882a522 differential only","dispatches to AnyTLS parser","complete","proxyUri.test.ts:anytls-matrix","local:PARSERS;workstream:parser-inventory",""
"WireGuard","wireguard","scheme","wireguard","","parser_dispatch","literal_scheme","wireguard://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: wireguard","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","dispatches to WireGuard parser","complete","proxyUri.test.ts:wireguard-matrix","local:PARSERS;workstream:parser-inventory",""
"WireGuard","wg","scheme","wg","","parser_dispatch","literal_scheme","wg://","none","n/a","ASCII scheme matched case-insensitively","registered_scheme","type: wireguard","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","dispatches to WireGuard parser","complete","proxyUri.test.ts:wireguard-matrix","local:PARSERS;workstream:parser-inventory","secondary spelling"
